N° Enr.;NomETS;RegionETS
397;BETHLEHEM 1;BRAZZAVILLE
398;BETHLEHEM 2;BRAZZAVILLE
399;BETSALEEL;POINTE-NOIRE
400;BEULAH LAND;POINTE-NOIRE
401;BEVERLY HILLS;BRAZZAVILLE
402;BEVERLY SCHOOL;BRAZZAVILLE
403;BEWEMY;POINTE-NOIRE
404;BIAM SCHOOL;POINTE-NOIRE
405;BIANEF;POINTE-NOIRE
406;BIANIEF;POINTE-NOIRE
407;BIENHEUREUSE;BRAZZAVILLE
408;BIENHEUREUSE ANUARITE;KOUILOU
409;BIENHEUREUSE ANUARITE;SANGHA
410;BIENHEUREUX F.;BRAZZAVILLE
411;BIESSI;SANGHA
412;BIKOUMOU - GOLOMO;POOL
413;BILALA MABETA;POOL
414;BILALA RESCOLARISATION;KOUILOU
415;BILALA RESCOLARISATION;SANGHA
416;BILESSI ELOI;POOL
417;BILINGA (CL);KOUILOU
418;BILINGA (CL);SANGHA
419;BILINGUE 3L;POINTE-NOIRE
420;BILINGUE AMERICAIN MOM'S ;BRAZZAVILLE
421;BILINGUE ARGILE;BRAZZAVILLE
422;BILINGUE DU CONGO;BRAZZAVILLE
423;BILINGUE ESTHER 1;POINTE-NOIRE
424;BILINGUE ESTHER 2;POINTE-NOIRE
425;BILINGUE FELIX EBOUE;BRAZZAVILLE
426;BILINGUE FELIX EBOUE ;BRAZZAVILLE
427;BILINGUE GALILEE;BRAZZAVILLE
428;BILINGUE GLORIA;BRAZZAVILLE
429;BILINGUE HAPPY SCHOOL;POINTE-NOIRE
430;BILINGUE L'EXCELLENT;POINTE-NOIRE
431;BILINGUE LA NÔTRE;POINTE-NOIRE
432;BILINGUE LE CELESTE;BRAZZAVILLE
433;BILINGUE LE MANAO;POINTE-NOIRE
434;BILINGUE LE PRINCE SUCCES;BRAZZAVILLE
435;BILINGUE LE SOMMET;BRAZZAVILLE
436;BILINGUE NOTRE AVENIR;POINTE-NOIRE
437;BILINGUE PERFECTION;POINTE-NOIRE
438;BILINGUE PERFECTION SCHOOL 2;POINTE-NOIRE
439;BILINGUE PERFECTION SCHOOL SITE 2;BRAZZAVILLE
440;BILINGUE PERFECTION SCHOOL1;POINTE-NOIRE
441;BILINGUE PERFECTIONSCHOOL;BRAZZAVILLE
